path	status	bytes	lines
.gitignore	text	1742	129
kalima-platform/.hermes/reviews/e-booklet-admin-editor-full-browser-proof/handoff.md	text	3223	54
kalima-platform/.hermes/reviews/e-booklet-auth-e2e-followup/handoff.md	text	3213	42
kalima-platform/.hermes/reviews/e-booklet-remaining-browser-proof/handoff.md	text	3298	77
kalima-platform/.hermes/reviews/fekra-e-booklet-v2/handoff.md	text	12012	217
kalima-platform/.hermes/reviews/kalima-e-booklet-required-blocker-fix/critique-report.md	text	1896	27
kalima-platform/.hermes/reviews/kalima-e-booklet-required-blocker-fix/handoff.md	text	3068	42
kalima-platform/.hermes/reviews/kalima-e-booklet-teacher-store-invite-quota-fix/critique-report.md	text	3332	41
kalima-platform/.hermes/reviews/kalima-e-booklet-teacher-store-invite-quota-fix/handoff.md	text	6032	82
kalima-platform/.hermes/reviews/kalima-e-booklet-teacher-store-invite-quota-fix/ruthless-line-review.md	text	18901	247
kalima-platform/.hermes/reviews/kalima-e-booklet-teacher-store-invite-quota-fix/strict-24-file-review-fixup.md	text	3415	48
kalima-platform/.hermes/reviews/kalima-e-booklet-teacher-store-invite-quota-fix/strict-24-file-review.md	text	13444	167
kalima-platform/.hermes/reviews/kalima-meeting-2026-06-11/handoff.md	text	6789	125
kalima-platform/.hermes/reviews/kalima-meeting-2026-06-11/phase-6-admin-terms-milestones-handoff.md	text	5714	78
kalima-platform/.hermes/reviews/kalima-meeting-2026-06-11/ruthless-phase1-rereview-prompt.md	text	4537	62
kalima-platform/.hermes/reviews/kalima-meeting-2026-06-11/ruthless-phase1-rereview.md	text	10499	166
kalima-platform/.hermes/reviews/kalima-meeting-2026-06-11/ruthless-phase1-review-prompt.md	text	5075	78
kalima-platform/.hermes/reviews/kalima-meeting-2026-06-11/ruthless-phase1-review.md	text	12265	162
kalima-platform/.hermes/reviews/kalima-meeting-2026-06-11/ruthless-phase2-background-review.md	text	17851	194
kalima-platform/.hermes/reviews/kalima-meeting-2026-06-11/ruthless-phase2-final-rereview-prompt.md	text	3971	55
kalima-platform/.hermes/reviews/kalima-meeting-2026-06-11/ruthless-phase2-final-rereview.md	text	6796	85
kalima-platform/.hermes/reviews/kalima-meeting-2026-06-11/ruthless-phase2-rereview-prompt.md	text	4595	69
kalima-platform/.hermes/reviews/kalima-meeting-2026-06-11/ruthless-phase2-rereview.md	text	10531	125
kalima-platform/.hermes/reviews/kalima-meeting-2026-06-11/ruthless-phase2-review-prompt.md	text	5438	75
kalima-platform/.hermes/reviews/kalima-phase-6-admin-terms-milestones/critique-report.md	text	1348	21
kalima-platform/.hermes/reviews/kalima-phase-6-admin-terms-milestones/handoff.md	text	3370	46
kalima-platform/.hermes/reviews/phase-7-student-code-redemption/critique-report.md	text	5350	121
kalima-platform/.hermes/reviews/phase-7-student-code-redemption/handoff.md	text	3533	57
kalima-platform/.hermes/reviews/ruthless-line-by-line-2026-06-15/handoff.md	text	2272	19
kalima-platform/.hermes/reviews/ruthless-line-by-line-2026-06-15/prompt.md	text	2875	39
kalima-platform/.hermes/reviews/ruthless-line-by-line-2026-06-15/report.md	text	12930	113
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/file-accounting.tsv	text	10775	98
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/files-to-review.txt	text	7713	98
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/fix-agent-prompt.md	text	4618	60
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/fix-agent-report.md	text	7148	37
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/prompt.md	text	3120	52
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/report.md	text	29571	205
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/rereview-files-to-review.txt	text	9666	119
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/source-bundle-1.txt	text	62881	1795
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/source-bundle-10.txt	text	63148	1183
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/source-bundle-11.txt	text	58974	917
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/source-bundle-12.txt	text	49514	1171
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/source-bundle-13.txt	text	69698	1284
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/source-bundle-14.txt	text	61463	965
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/source-bundle-2.txt	text	16555	212
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/source-bundle-3.txt	text	77665	1482
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/source-bundle-4.txt	text	66215	1661
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/source-bundle-5.txt	text	68558	1017
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/source-bundle-6.txt	text	38997	825
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/source-bundle-7.txt	text	73442	1629
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/source-bundle-8.txt	text	63600	1144
kalima-platform/.hermes/reviews/ruthless-line-by-line-full-2026-06-15/source-bundle-9.txt	text	67599	1693
kalima-platform/backend/src/apps/store-api/controllers/e-booklet.controller.ts	text	39544	1157
kalima-platform/backend/src/apps/store-api/emails/email.service.ts	text	9989	396
kalima-platform/backend/src/apps/store-api/emails/templates/e-booklet-milestone-achievement.template.ts	text	3764	88
kalima-platform/backend/src/apps/store-api/emails/templates/index.ts	text	577	13
kalima-platform/backend/src/apps/store-api/generated/prisma/browser.ts	text	7358	354
kalima-platform/backend/src/apps/store-api/generated/prisma/client.ts	text	8144	374
kalima-platform/backend/src/apps/store-api/generated/prisma/commonInputTypes.ts	text	116249	1703
kalima-platform/backend/src/apps/store-api/generated/prisma/enums.ts	text	8718	327
kalima-platform/backend/src/apps/store-api/generated/prisma/internal/class.ts	text	691919	863
kalima-platform/backend/src/apps/store-api/generated/prisma/internal/prismaNamespace.ts	text	280381	7276
kalima-platform/backend/src/apps/store-api/generated/prisma/internal/prismaNamespaceBrowser.ts	text	36206	1189
kalima-platform/backend/src/apps/store-api/generated/prisma/models.ts	text	3499	78
kalima-platform/backend/src/apps/store-api/generated/prisma/models/e_booklet_access_code_redemptions.ts	text	128642	2288
kalima-platform/backend/src/apps/store-api/generated/prisma/models/e_booklet_access_codes.ts	text	125261	2465
kalima-platform/backend/src/apps/store-api/generated/prisma/models/e_booklet_access.ts	text	112352	2277
kalima-platform/backend/src/apps/store-api/generated/prisma/models/e_booklet_instances.ts	text	258391	4357
kalima-platform/backend/src/apps/store-api/generated/prisma/models/e_booklet_milestone_achievements.ts	text	129438	2274
kalima-platform/backend/src/apps/store-api/generated/prisma/models/e_booklet_milestones.ts	text	85680	1877
kalima-platform/backend/src/apps/store-api/generated/prisma/models/e_booklet_purchases.ts	text	140845	2659
kalima-platform/backend/src/apps/store-api/generated/prisma/models/e_booklet_teacher_terms_acceptances.ts	text	104704	1900
kalima-platform/backend/src/apps/store-api/generated/prisma/models/e_booklet_templates.ts	text	137041	2746
kalima-platform/backend/src/apps/store-api/generated/prisma/models/e_booklet_terms.ts	text	137270	2790
kalima-platform/backend/src/apps/store-api/generated/prisma/models/purchases.ts	text	269703	4951
kalima-platform/backend/src/apps/store-api/generated/prisma/models/teacher_wallet_ledger.ts	text	127284	2380
kalima-platform/backend/src/apps/store-api/generated/prisma/models/teacher_wallets.ts	text	60995	1521
kalima-platform/backend/src/apps/store-api/generated/prisma/models/users.ts	text	1296894	18872
kalima-platform/backend/src/apps/store-api/prisma/migrations/20260614180000_e_booklet_terms_milestones_wallet/migration.sql	text	15298	205
kalima-platform/backend/src/apps/store-api/prisma/migrations/20260614210000_e_booklet_milestone_notifications/migration.sql	text	231	3
kalima-platform/backend/src/apps/store-api/prisma/migrations/20260615120000_e_booklet_purchase_wallet_amounts/migration.sql	text	260	7
kalima-platform/backend/src/apps/store-api/prisma/schema.prisma	text	71436	1482
